event,severity,timestamp,message,payload
RARE_SPECIES,alert,2026-05-09T09:11:07.677945,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
SPECIES_FIRST_SEEN,info,2026-05-09T09:11:07.677945,New species detected this session: horse.,"{""species"": ""horse""}"
SPECIES_FIRST_SEEN,info,2026-05-09T09:11:07.677945,New species detected this session: elephant.,"{""species"": ""elephant""}"
RARE_SPECIES,alert,2026-05-09T09:11:21.831685,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
SPECIES_FIRST_SEEN,info,2026-05-09T09:11:21.831685,New species detected this session: cow.,"{""species"": ""cow""}"
RARE_SPECIES,alert,2026-05-09T09:11:33.106167,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:11:44.299300,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:11:44.299300,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
SPECIES_FIRST_SEEN,info,2026-05-09T09:11:44.299300,New species detected this session: giraffe.,"{""species"": ""giraffe""}"
RARE_SPECIES,alert,2026-05-09T09:12:30.131821,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:13:49.141923,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:14:00.391132,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:14:23.127689,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:14:45.490992,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:15:08.833734,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:15:08.833734,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
SPECIES_FIRST_SEEN,info,2026-05-09T09:15:08.833734,New species detected this session: zebra.,"{""species"": ""zebra""}"
RARE_SPECIES,alert,2026-05-09T09:15:20.685615,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:15:20.685615,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:15:32.577451,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:15:43.783098,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:15:55.118303,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:16:09.889621,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:16:20.712076,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:16:43.865636,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:16:43.865636,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:16:55.143671,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:16:55.143671,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:06.403813,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:17:06.403813,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:06.403813,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:18.056902,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:18.056902,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:29.091548,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:17:29.091548,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:29.091548,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:40.528792,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:17:40.528792,Vulnerable species detected: giraffe.,"{""species"": ""giraffe"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:40.528792,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:17:51.760690,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:17:51.760690,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:18:03.399751,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:18:03.399751,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
RARE_SPECIES,alert,2026-05-09T09:18:15.389714,Endangered species detected: zebra.,"{""species"": ""zebra"", ""iucn_status"": ""Endangered""}"
RARE_SPECIES,alert,2026-05-09T09:18:15.389714,Vulnerable species detected: elephant.,"{""species"": ""elephant"", ""iucn_status"": ""Vulnerable""}"
